V1 V2 pop country continent lang
Guaymi327 2002 831 Guaymi Panama AMERICA Chibchan
Guaymi329 2003 831 Guaymi Panama AMERICA Chibchan
Guaymi331 2004 831 Guaymi Panama AMERICA Chibchan
Guaymi333 2005 831 Guaymi Panama AMERICA Chibchan
Guaymi335 2007 831 Guaymi Panama AMERICA Chibchan
Guaymi337 2008 831 Guaymi Panama AMERICA Chibchan
Guaymi339 2009 831 Guaymi Panama AMERICA Chibchan
Cabecar341 2021 832 Cabecar CostaRica AMERICA Chibchan
Cabecar343 2022 832 Cabecar CostaRica AMERICA Chibchan
Cabecar345 2023 832 Cabecar CostaRica AMERICA Chibchan
Cabecar347 2024 832 Cabecar CostaRica AMERICA Chibchan
Cabecar349 2025 832 Cabecar CostaRica AMERICA Chibchan
Cabecar351 2026 832 Cabecar CostaRica AMERICA Chibchan
Cabecar353 2027 832 Cabecar CostaRica AMERICA Chibchan
Cabecar355 2028 832 Cabecar CostaRica AMERICA Chibchan
Cabecar357 2029 832 Cabecar CostaRica AMERICA Chibchan
Cabecar359 2030 832 Cabecar CostaRica AMERICA Chibchan
Cabecar361 2031 832 Cabecar CostaRica AMERICA Chibchan
Cabecar363 2032 832 Cabecar CostaRica AMERICA Chibchan
Cabecar365 2033 832 Cabecar CostaRica AMERICA Chibchan
Cabecar367 2034 832 Cabecar CostaRica AMERICA Chibchan
Cabecar369 2035 832 Cabecar CostaRica AMERICA Chibchan
Cabecar371 2036 832 Cabecar CostaRica AMERICA Chibchan
Cabecar373 2037 832 Cabecar CostaRica AMERICA Chibchan
Cabecar375 2038 832 Cabecar CostaRica AMERICA Chibchan
Cabecar377 2039 832 Cabecar CostaRica AMERICA Chibchan
Cabecar379 2040 832 Cabecar CostaRica AMERICA Chibchan
Aymara381 2101 833 Aymara Chile AMERICA Aymaran
Aymara383 2102 833 Aymara Chile AMERICA Aymaran
Aymara385 2103 833 Aymara Chile AMERICA Aymaran
Aymara387 2104 833 Aymara Chile AMERICA Aymaran
Aymara389 2106 833 Aymara Chile AMERICA Aymaran
Aymara391 2107 833 Aymara Chile AMERICA Aymaran
Aymara393 2108 833 Aymara Chile AMERICA Aymaran
Aymara395 2109 833 Aymara Chile AMERICA Aymaran
Aymara397 2110 833 Aymara Chile AMERICA Aymaran
